material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
Brass,15,55.09,255.6,0.67,7.09,0.177,77.7,1.049,87,1.314,0,6.09,0.01158
Al6061,0,58.24,369.7,4.75,7.46,0.005,27.35,0.215,274,0.771,0,6.59,0.00741
SS304,15,55.46,299.1,3.76,3.49,0.172,65.03,0.517,198,1.631,1,6.8,0.00109
LowCarbonSteel,5,33.69,514.9,6.12,0.78,0.095,50.44,1.054,60,1.135,1,6.73,0.03858
Brass,0,47.33,88.6,17.49,3.44,0.168,28.42,0.173,243,0.751,0,6.75,0.01547
LowCarbonSteel,5,15.52,172.4,6.13,3.6,0.147,49.77,0.649,176,1.755,1,6.51,0.07232
Al6061,15,34.57,413.9,32.44,6.59,0.122,51.8,1.126,161,1.447,1,6.52,0.00928
Copper,10,53.77,545.2,6.2,1.03,0.113,52.79,0.657,289,1.716,1,7.64,0.02337
Brass,0,66.89,315.8,6.67,3.04,0.134,16.78,0.171,82,1.442,1,6.98,0.00641
Brass,5,30.35,289.8,11.76,0.78,0.125,39.75,0.056,137,0.605,1,6.47,0.01162
SS304,5,59.53,373.3,10.04,1.68,0.186,20.66,0.947,211,1.685,0,6.77,0.00149
Brass,15,67.37,619.2,18.93,5.81,0.208,63.79,0.351,137,0.078,0,6.46,0.00769
LowCarbonSteel,5,42.3,165.4,10.48,1.71,0.151,29.99,0.112,203,0.621,0,6.74,0.03566
Copper,5,34.1,183.6,4.12,5.65,0.112,38.47,0.38,214,1.293,0,6.54,0.02438
Al6061,5,23.46,306.8,8.15,7.1,0.105,42.8,0.323,158,1.425,1,6.98,0.01327
SS304,15,56.46,432.8,12.03,4.7,0.225,63.66,0.415,117,1.034,1,6.75,0.00143
ZnCoatedSteel,15,18.74,329.3,2.8,2.93,0.145,80.97,0.796,282,1.139,1,7.41,0.03124
Al6061,0,15.13,256.7,5.1,3.22,0.161,31.77,0.171,47,1.734,1,6.72,0.01941
ZnCoatedSteel,5,30.89,249.3,0.41,4.5,0.182,50.2,0.506,150,1.194,1,7.01,0.01152
LowCarbonSteel,0,60.98,99.6,8.77,4.93,0.19,34.3,0.377,216,1.009,0,6.46,0.0275
Al6061,15,26.68,378,5.94,4.17,0.182,75.51,0.556,269,1.004,1,6.17,0.01043
SS304,15,16.36,354,11.42,5.81,0.211,56.67,0.166,100,1.477,0,6.79,0.00981
Brass,5,23.43,185.4,4.55,4.11,0.141,38.32,0.015,101,1.48,0,6.46,0.02217
LowCarbonSteel,0,65.75,162.9,9.68,3.63,0.102,13.76,0.289,197,0.525,0,7.23,0.02588
SS304,5,16.97,431.2,21.44,5.27,0.096,29.48,1.287,249,1.073,0,6.89,0.00671
Brass,5,22.16,178.2,1.61,1.53,0.153,29.8,0.088,46,0.05,0,6.04,0.02534
LowCarbonSteel,0,48.9,307,6.18,1.8,0.076,14.66,0.072,108,0.807,1,6.72,0.02494
ZnCoatedSteel,0,23.97,164.8,34.36,7.38,0.085,27.8,0.38,102,2.209,0,6.61,0.04607
ZnCoatedSteel,10,19.99,508.2,5.36,7.44,0.106,65.5,1.449,239,0.658,0,6.16,0.02763
LowCarbonSteel,0,43.2,422,7.61,4.28,0.093,12.21,0.672,269,0.689,0,7.04,0.04919
SS304,0,47.92,325.1,5.42,7.61,0.138,8.52,0.617,36,1.322,0,6.59,0.00197
Al6061,0,62.74,283.7,11.93,0.77,0.097,19.19,0.36,236,1.098,1,6.4,0.00335
Al6061,5,55.14,277.1,3.51,3.4,0.065,45.21,0.209,216,0.05,0,7.16,0.00743
SS304,5,25.37,280.2,10.96,3.09,0.071,24.61,0.478,96,1.133,0,6.56,0.00497
Copper,15,59.34,493.5,5.2,5.98,0.15,74.23,0.21,103,0.905,1,6.45,0.01793
ZnCoatedSteel,15,23.32,517.6,25.95,1.2,0.136,72.29,0.627,313,2.343,0,6.96,0.02804
Al6061,10,68.2,319.5,2.43,3.77,0.128,48.52,0.721,27,1.705,0,5.97,0.00403
Al6061,10,39.46,92.3,8.79,3.46,0.114,64.2,1.038,132,1.15,1,7.11,0.00751
LowCarbonSteel,15,34.46,392.9,6.15,2.37,0.12,41.4,0.528,171,0.555,0,5.92,0.05186
Copper,15,32.05,602.1,4.73,1.02,0.164,64.81,0.609,237,0.999,1,7.14,0.02573
Brass,15,26.65,520,7.46,3.47,0.184,76.51,0.048,96,1.036,0,6.57,0.02318
LowCarbonSteel,0,33.93,121,14.36,6.57,0.174,24.69,0.763,168,2.826,0,6.48,0.05466
LowCarbonSteel,15,52.13,487.8,9.59,5.09,0.174,64.26,0.313,315,1.418,0,5.86,0.02757
Al6061,15,22.01,303.8,13.66,7.66,0.152,69.14,1.147,63,1.757,0,7.07,0.01832
Brass,15,68.98,388.7,16.6,6.93,0.091,69.07,0.224,182,0.399,0,6.42,0.00903
Al6061,15,46.82,302.6,6.35,0.73,0.131,69.12,0.856,163,0.809,1,6.06,0.0051
Brass,0,56.06,245.6,1.82,7.6,0.218,30.59,0.207,170,0.737,0,7.09,0.01078
LowCarbonSteel,10,17.7,330.1,16.17,3.11,0.019,67.34,0.755,107,2.677,0,5.89,0.08333
SS304,0,56.96,309.6,2.75,6.14,0.15,20.81,0.526,27,2.217,0,7.29,0.00118
Al6061,15,43.86,493.7,6.76,5.29,0.119,74.05,0.477,157,1.789,0,6.44,0.00825
Al6061,15,27.9,377.1,2.69,7.62,0.179,69.91,0.758,93,1.738,1,6.16,0.01217
LowCarbonSteel,10,19.26,157.5,8.45,6.37,0.111,53.88,1.056,83,0.732,0,6.98,0.0825
Copper,0,29.26,371.8,2.94,6.11,0.15,0.5,1.231,263,1.36,0,6.66,0.03564
ZnCoatedSteel,0,47.17,142.2,10.49,1,0.081,34.67,0.419,302,1.632,0,7.38,0.01258
Al6061,5,17.33,358.1,8.25,3.45,0.112,43.46,0.67,282,1.674,1,6.57,0.01346
ZnCoatedSteel,10,60.93,430.7,5.11,7.15,0.162,69.62,0.031,218,1.035,1,6.39,0.00594
LowCarbonSteel,10,33.01,268.5,2.64,4.1,0.13,59.86,0.547,155,1.323,1,6.76,0.04072
Brass,5,27.18,75,15.31,3.32,0.116,34.5,0.139,67,0.39,0,6.62,0.02633
SS304,5,31.72,316.9,4.7,3.21,0.115,29.96,0.841,240,1.551,0,6.7,0.00262
Brass,10,69.14,88.8,13.13,3.3,0.164,32.12,0.181,271,1.344,0,6.53,0.00639
ZnCoatedSteel,10,23.41,378.3,7.06,1.04,0.137,48.52,0.082,134,1.223,0,6.09,0.02648
Copper,15,39.79,381.8,10.88,1.82,0.132,82.36,0.235,282,3.207,1,5.81,0.01593
